signup_year,signup_month,user_count,avg_age,avg_salary,median_salary
2019,1,8,43.875,6936.875,5001.5
2019,2,4,48.25,10058.0,10422.0
2019,3,5,45.2,9118.6,7546.0
2019,4,6,41.833333333333336,9895.333333333334,11490.0
2019,5,7,34.0,6986.0,1784.0
2019,6,9,39.55555555555556,11243.222222222223,12119.0
2019,7,4,49.25,8074.75,8957.0
2019,8,10,45.7,11174.2,9818.0
2019,9,6,39.166666666666664,7065.833333333333,5306.0
2019,10,6,52.666666666666664,9842.166666666666,8868.0
2019,11,2,24.0,29386.5,29386.5
2019,12,7,40.714285714285715,9511.142857142857,9553.0
2020,1,8,42.25,7630.75,5886.0
2020,2,7,34.714285714285715,7769.571428571428,6664.0
2020,3,35,36.885714285714286,7154.5142857142855,7864.0
2020,4,70,41.22857142857143,9353.985714285714,8930.5
2020,5,102,42.5,8999.549019607843,7437.5
2020,6,83,41.95180722891566,9301.915662650603,8788.0
2020,7,90,40.766666666666666,9747.322222222223,8498.0
2020,8,64,38.90625,8106.78125,6917.0
2020,9,74,40.689189189189186,9178.54054054054,7715.5
2020,10,100,42.09,10851.04,10336.5
2020,11,67,45.16417910447761,9883.059701492537,8272.0
2020,12,68,43.088235294117645,8607.867647058823,7770.5
2021,1,86,42.45348837209303,9786.372093023256,7976.5
2021,2,80,43.625,9410.05,8057.5
2021,3,73,38.863013698630134,12194.054794520547,11277.0
2021,4,87,41.701149425287355,9523.977011494253,9202.0
2021,5,85,41.976470588235294,10795.058823529413,9669.0
2021,6,77,42.48051948051948,8156.662337662337,5862.0
2021,7,94,41.5531914893617,8746.765957446809,8440.5
2021,8,95,42.305263157894736,8425.642105263158,7449.0
2021,9,65,44.06153846153846,10337.461538461539,8569.0
2021,10,74,42.0,9854.121621621622,8018.5
2021,11,77,43.246753246753244,8764.48051948052,8767.0
2021,12,87,41.28735632183908,9837.494252873563,8273.0
2022,1,74,42.891891891891895,8951.337837837838,8423.0
2022,2,78,45.26923076923077,8347.51282051282,7763.5
2022,3,68,44.720588235294116,10255.926470588236,10018.5
2022,4,90,41.077777777777776,10687.055555555555,8456.0
2022,5,88,41.80681818181818,9860.977272727272,7824.0
2022,6,84,40.25,7785.547619047619,6405.0
2022,7,98,44.183673469387756,8781.244897959185,8612.0
2022,8,78,42.14102564102564,10253.076923076924,8426.5
2022,9,93,44.16129032258065,10541.290322580646,9308.0
2022,10,77,39.63636363636363,11793.935064935065,12774.0
2022,11,71,44.95774647887324,11104.985915492958,9295.0
2022,12,92,44.30434782608695,9321.108695652174,8155.5
2023,1,95,40.83157894736842,9318.568421052632,7570.0
2023,2,73,43.02739726027397,10809.767123287671,9922.0
2023,3,75,40.46666666666667,7366.413333333333,4151.0
2023,4,75,42.92,8165.24,5601.0
2023,5,78,42.42307692307692,9286.923076923076,7722.0
2023,6,71,45.16901408450704,7878.112676056338,5987.0
2023,7,76,45.171052631578945,8702.328947368422,7715.0
2023,8,77,39.81818181818182,9362.896103896104,9673.0
2023,9,71,41.352112676056336,10499.352112676057,8285.0
2023,10,84,42.392857142857146,7763.785714285715,5758.5
2023,11,79,43.67088607594937,7662.7594936708865,5473.0
2023,12,85,43.423529411764704,9983.24705882353,7240.0
2024,1,76,42.276315789473685,10323.842105263158,9164.0
2024,2,75,41.22666666666667,8920.413333333334,7580.0
2024,3,71,44.352112676056336,11435.43661971831,12265.0
2024,4,70,42.871428571428574,8937.657142857142,7825.0
2024,5,101,43.17821782178218,9539.039603960397,8973.0
2024,6,82,42.68292682926829,10876.268292682927,9000.0
2024,7,80,39.125,9336.4375,9535.0
2024,8,79,39.860759493670884,8992.291139240506,8478.0
2024,9,90,42.75555555555555,10169.877777777778,9050.5
2024,10,102,42.6764705882353,9319.362745098038,8941.0
2024,11,81,44.75308641975309,9674.197530864198,9062.0
2024,12,85,42.870588235294115,8642.69411764706,5190.0
2025,1,87,42.195402298850574,9878.931034482759,8493.0
2025,2,71,41.11267605633803,10222.577464788732,10162.0
2025,3,70,45.114285714285714,10155.842857142858,9474.0
2025,4,6,45.166666666666664,7670.333333333333,6383.0
2025,5,9,46.55555555555556,6991.555555555556,8657.0
2025,6,6,44.333333333333336,11979.833333333334,7698.0
2025,7,8,49.0,8298.0,7386.0
2025,8,4,29.5,4625.25,4225.0
2025,9,11,52.27272727272727,9060.636363636364,8531.0
2025,10,2,55.5,15738.0,15738.0
2025,11,7,30.571428571428573,10269.714285714286,7918.0
2025,12,4,45.75,5299.5,4482.5
